key,time,commitTime,PythonfileNum,pythonFile
#1732,2020-03-19 14:34:43,2020-03-19 15:34:42,10,"['onmt/bin/preprocess.py', 'onmt/bin/train.py', 'onmt/inputters/__init__.py', 'onmt/inputters/dataset_base.py', 'onmt/inputters/inputter.py', 'onmt/modules/__init__.py', 'onmt/modules/source_noise.py', 'onmt/opts.py', 'onmt/trainer.py', 'onmt/translate/translator.py']"
#1712,2020-01-28 14:48:14,2020-01-28 15:48:13,3,"['onmt/bin/release_model.py', 'setup.py', 'tools/release_model.py']"
#1705,2020-01-16 15:58:04,2020-01-16 16:58:04,2,"['onmt/translate/translation_server.py', 'setup.py']"
#1700,2020-01-10 10:49:18,2020-01-10 11:49:17,3,"['onmt/bin/server.py', 'onmt/utils/logging.py', 'setup.py']"
#1692,2019-12-31 16:02:51,2019-12-31 17:02:51,2,"['onmt/decoders/transformer.py', 'onmt/opts.py']"
#1680,2019-12-13 17:22:39,2019-12-13 18:22:39,2,"['onmt/__init__.py', 'setup.py']"
#1675,2019-12-13 16:38:58,2019-12-13 17:38:57,3,"['onmt/tests/test_beam_search.py', 'onmt/translate/beam_search.py', 'onmt/translate/decode_strategy.py']"
#1673,2019-12-12 12:46:18,2019-12-12 13:46:17,2,"['onmt/opts.py', 'onmt/translate/translator.py']"
#1672,2019-12-11 16:56:28,2019-12-11 17:56:27,3,"['onmt/translate/translation_server.py', 'onmt/utils/logging.py', 'onmt/utils/misc.py']"
#1661,2019-12-04 11:06:48,2019-12-04 12:06:47,3,"['onmt/bin/average_models.py', 'setup.py', 'tools/average_models.py']"
#1650,2019-11-21 10:22:41,2019-11-21 11:22:41,4,"['onmt/tests/test_beam_search.py', 'onmt/translate/__init__.py', 'onmt/translate/beam_search.py', 'onmt/translate/translator.py']"
#1640,2019-11-20 09:16:30,2019-11-20 10:16:29,7,"['onmt/tests/test_beam_search.py', 'onmt/tests/test_greedy_search.py', 'onmt/translate/__init__.py', 'onmt/translate/beam_search.py', 'onmt/translate/decode_strategy.py', 'onmt/translate/greedy_search.py', 'onmt/translate/translator.py']"
#1631,2019-11-12 11:10:28,2019-11-12 12:10:28,3,"['onmt/bin/server.py', 'onmt/tests/test_translation_server.py', 'onmt/translate/translation_server.py']"
#1623,2019-11-12 11:09:27,2019-11-12 12:09:26,2,"['onmt/models/model_saver.py', 'onmt/trainer.py']"
#1615,2019-11-22 10:52:33,2019-11-22 11:52:32,24,"['onmt/bin/preprocess.py', 'onmt/bin/server.py', 'onmt/bin/train.py', 'onmt/bin/translate.py', 'onmt/decoders/decoder.py', 'onmt/decoders/ensemble.py', 'onmt/decoders/transformer.py', 'onmt/inputters/dataset_base.py', 'onmt/inputters/inputter.py', 'onmt/models/model.py', 'onmt/modules/multi_headed_attn.py', 'onmt/opts.py', 'onmt/tests/test_preprocess.py', 'onmt/tests/test_translation_server.py', 'onmt/trainer.py', 'onmt/translate/beam_search.py', 'onmt/translate/translation.py', 'onmt/translate/translation_server.py', 'onmt/translate/translator.py', 'onmt/utils/__init__.py', 'onmt/utils/alignment.py', 'onmt/utils/loss.py', 'onmt/utils/misc.py', 'onmt/utils/parse.py']"
#1594,2019-10-14 09:56:14,2019-10-14 11:56:13,2,"['onmt/__init__.py', 'setup.py']"
#1589,2019-10-01 14:35:39,2019-10-01 16:35:38,2,"['onmt/__init__.py', 'setup.py']"
#1581,2019-10-01 12:03:40,2019-10-01 14:03:39,11,"['onmt/bin/__init__.py', 'onmt/bin/preprocess.py', 'onmt/bin/server.py', 'onmt/bin/train.py', 'onmt/bin/translate.py', 'onmt/tests/test_preprocess.py', 'preprocess.py', 'server.py', 'setup.py', 'train.py', 'translate.py']"
#1569,2019-09-23 19:02:12,2019-09-23 21:02:11,2,"['onmt/opts.py', 'preprocess.py']"
