key,time,commitTime,PythonfileNum,pythonFile
#7176,2020-12-10 03:48:49,2020-12-10 05:48:48,15,"['examples/demo/kivycatalog/main.py', 'examples/demo/pictures/main.py', 'examples/demo/shadereditor/main.py', 'examples/demo/showcase/main.py', 'examples/demo/touchtracer/main.py', 'examples/keyboard/main.py', 'examples/settings/main.py', 'kivy/core/window/__init__.py', 'kivy/lang/__init__.py', 'kivy/lang/builder.py', 'kivy/lang/parser.py', 'kivy/loader.py', 'kivy/network/urlrequest.py', 'kivy/tools/pep8checker/pep8kivy.py', 'kivy/uix/vkeyboard.py']"
#7118,2020-10-15 07:09:51,2020-10-15 16:09:50,6,"['kivy/tests/test_uix_bubble.py', 'kivy/tests/test_uix_gridlayout.py', 'kivy/uix/bubble.py', 'kivy/uix/gridlayout.py', 'kivy/uix/recyclegridlayout.py', 'kivy/uix/settings.py']"
#7080,2020-09-16 01:50:35,2020-09-15 21:50:34,3,"['kivy/tests/common.py', 'kivy/tests/test_fonts.py', 'setup.py']"
#6965,2020-06-25 17:25:03,2020-06-25 19:25:02,2,"['kivy/tests/test_properties.py', 'kivy/utils.py']"
#6953,2021-04-08 07:40:40,2021-04-08 09:40:38,3,"['kivy/core/window/__init__.py', 'kivy/core/window/window_sdl2.py', 'kivy/uix/textinput.py']"
#6946,2020-06-18 18:44:16,2020-06-18 18:22:33,2,"['kivy/network/urlrequest.py', 'kivy/tests/test_urlrequest.py']"
#6932,2020-06-24 17:15:24,2020-06-25 00:33:21,6,"['kivy/core/video/__init__.py', 'kivy/uix/layout.py', 'kivy/uix/pagelayout.py', 'kivy/uix/scrollview.py', 'kivy/uix/video.py', 'kivy/uix/videoplayer.py']"
#6926,2020-06-14 16:39:27,2020-06-14 12:39:26,13,"['kivy/base.py', 'kivy/clock.py', 'kivy/network/urlrequest.py', 'kivy/tests/common.py', 'kivy/tests/conftest.py', 'kivy/tests/fixtures.py', 'kivy/tests/test_clock.py', 'kivy/tests/test_filechooser_unicode.py', 'kivy/tests/test_multistroke.py', 'kivy/tests/test_properties.py', 'kivy/tests/test_uix_translate_coordinates.py', 'kivy/tests/test_urlrequest.py', 'kivy/tools/benchmark.py']"
#6910,2020-06-01 17:09:07,2020-06-01 19:09:06,2,"['kivy/logger.py', 'kivy/tests/test_issues/test_issue_6909.py']"
#6897,2020-06-20 04:13:45,2020-06-20 00:13:44,3,"['examples/widgets/recycleview/basic_data.py', 'kivy/factory_registers.py', 'kivy/uix/recycleview/views.py']"
#6892,2020-05-24 07:58:39,2020-05-24 03:58:38,2,"['kivy/core/__init__.py', 'kivy/lang/parser.py']"
#6852,2020-05-02 13:31:32,2020-05-02 20:03:51,2,"['kivy/utils.py', 'kivy/tests/test_utils.py']"
#6798,2020-03-29 16:14:46,2020-03-29 18:14:45,2,"['kivy/tests/test_utils.py', 'kivy/utils.py']"
#6741,2020-09-27 13:53:13,2020-10-15 16:09:50,6,"['kivy/tests/test_uix_bubble.py', 'kivy/tests/test_uix_gridlayout.py', 'kivy/uix/bubble.py', 'kivy/uix/gridlayout.py', 'kivy/uix/recyclegridlayout.py', 'kivy/uix/settings.py']"
