key,time,commitTime,PythonfileNum,pythonFile
#939,2020-10-02 05:42:25,2020-10-02 08:42:24,6,"['catalyst/contrib/nn/modules/__init__.py', 'catalyst/contrib/nn/modules/arcface.py', 'catalyst/contrib/nn/modules/cosface.py', 'catalyst/contrib/nn/modules/softmax.py', 'catalyst/contrib/nn/tests/test_criterion.py', 'catalyst/contrib/nn/tests/test_modules.py']"
#937,2020-09-23 04:42:08,2020-09-23 07:42:07,12,"['catalyst/contrib/dl/callbacks/__init__.py', 'catalyst/contrib/dl/callbacks/optuna_callback.py', 'catalyst/contrib/dl/callbacks/tests/test_optuna_callback.py', 'catalyst/core/experiment.py', 'catalyst/dl/__main__.py', 'catalyst/dl/experiment/config.py', 'catalyst/dl/experiment/experiment.py', 'catalyst/dl/scripts/tune.py', 'catalyst/tools/settings.py', 'examples/cifar_stages_optuna/__init__.py', 'examples/cifar_stages_optuna/experiment.py', 'examples/cifar_stages_optuna/model.py']"
#936,2020-09-11 16:21:07,2020-09-11 19:21:05,25,"['catalyst/__version__.py', 'catalyst/contrib/utils/__init__.py', 'catalyst/core/callbacks/logging.py', 'catalyst/dl/experiment/__init__.py', 'catalyst/dl/runner/__init__.py', 'catalyst/dl/scripts/init.py', 'catalyst/dl/scripts/quantize.py', 'catalyst/dl/scripts/run.py', 'catalyst/dl/scripts/trace.py', 'catalyst/dl/utils/quantization.py', 'catalyst/dl/utils/trace.py', 'catalyst/registry/registries.py', 'catalyst/utils/__init__.py', 'catalyst/utils/scripts.py', 'tests/_tests_cv_classification_registry/test1/__init__.py', 'tests/_tests_cv_classification_registry/test1/experiment.py', 'tests/_tests_cv_classification_registry/test1/model.py', 'tests/_tests_cv_classification_registry/test2/__init__.py', 'tests/_tests_cv_classification_registry/test2/experiments/SimpleExperiment1.py', 'tests/_tests_cv_classification_registry/test2/experiments/SimpleExperiment2.py', 'tests/_tests_cv_classification_registry/test2/experiments/__init__.py', 'tests/_tests_cv_classification_registry/test2/model.py', 'tests/_tests_cv_classification_registry/test3/__init__.py', 'tests/_tests_cv_classification_registry/test3/experiment.py', 'tests/_tests_cv_classification_registry/test3/model.py']"
#933,2020-09-07 05:32:17,2020-09-07 08:32:16,16,"['catalyst/__version__.py', 'catalyst/core/callbacks/__init__.py', 'catalyst/core/callbacks/checkpoint.py', 'catalyst/core/callbacks/early_stop.py', 'catalyst/core/callbacks/logging.py', 'catalyst/core/callbacks/optimizer.py', 'catalyst/core/callbacks/scheduler.py', 'catalyst/core/callbacks/tests/test_pruning.py', 'catalyst/dl/callbacks/__init__.py', 'catalyst/dl/callbacks/pruning.py', 'catalyst/dl/experiment/config.py', 'catalyst/dl/experiment/supervised.py', 'catalyst/dl/scripts/run.py', 'catalyst/dl/utils/callbacks.py', 'catalyst/utils/__init__.py', 'catalyst/utils/components.py']"
#930,2020-09-05 07:30:07,2020-09-05 10:30:06,4,"['catalyst/dl/callbacks/quantization.py', 'catalyst/dl/callbacks/tests/test_quantization.py', 'catalyst/dl/scripts/quantize.py', 'catalyst/dl/utils/quantization.py']"
#927,2020-09-04 04:38:59,2020-09-04 07:38:58,3,"['catalyst/core/callbacks/optimizer.py', 'catalyst/core/tests/test_optimizer_callback.py', 'catalyst/utils/misc.py']"
#926,2020-09-03 16:31:51,2020-09-03 19:31:51,6,"['catalyst/core/callbacks/__init__.py', 'catalyst/core/callbacks/optimizer.py', 'catalyst/dl/experiment/config.py', 'catalyst/dl/experiment/supervised.py', 'catalyst/utils/components.py', 'catalyst/utils/distributed.py']"
#903,2020-10-11 12:07:24,2020-10-11 21:07:24,4,"['catalyst/contrib/datasets/__init__.py', 'catalyst/contrib/datasets/movielens.py', 'catalyst/contrib/datasets/tests/__init__.py', 'catalyst/contrib/datasets/tests/test_movielens.py']"
#890,2020-09-03 18:08:23,2020-09-03 21:08:22,9,"['catalyst/dl/__main__.py', 'catalyst/dl/callbacks/__init__.py', 'catalyst/dl/callbacks/quantization.py', 'catalyst/dl/callbacks/tests/__init__.py', 'catalyst/dl/callbacks/tests/test_quantization.py', 'catalyst/dl/scripts/quantize.py', 'catalyst/dl/utils/__init__.py', 'catalyst/dl/utils/quantization.py', 'catalyst/tools/settings.py']"
#886,2020-10-11 12:08:31,2020-10-11 21:08:30,8,"['catalyst/dl/callbacks/metrics/__init__.py', 'catalyst/dl/callbacks/metrics/mrr.py', 'catalyst/dl/callbacks/metrics/tests/__init__.py', 'catalyst/metrics/__init__.py', 'catalyst/metrics/mrr.py', 'catalyst/metrics/tests/__init__.py', 'catalyst/metrics/tests/test_mrr.py', 'catalyst/utils/metrics/__init__.py']"
#2,2018-09-24 12:31:38,2021-10-19 21:17:10,20,"['catalyst/callbacks/checkpoint.py', 'catalyst/callbacks/scheduler.py', 'catalyst/callbacks/soft_update.py', 'catalyst/contrib/data/reader.py', 'catalyst/contrib/datasets/cv/imagecar.py', 'catalyst/contrib/datasets/cv/misc.py', 'catalyst/contrib/datasets/mnist.py', 'catalyst/contrib/datasets/movielens.py', 'catalyst/contrib/models/mnist.py', 'catalyst/contrib/nn/criterion/supervised_contrastive.py', 'catalyst/contrib/nn/optimizers/lamb.py', 'catalyst/contrib/nn/optimizers/qhadamw.py', 'catalyst/data/dataset/metric_learning.py', 'catalyst/data/dataset/self_supervised.py', 'catalyst/data/loader.py', 'catalyst/data/sampler.py', 'catalyst/data/sampler_inbatch.py', 'catalyst/loggers/mlflow.py', 'catalyst/metrics/_classification.py', 'catalyst/metrics/_metric.py']"
