key,time,commitTime,PythonfileNum,pythonFile
#1326,2020-11-11 15:51:31,2020-11-11 18:51:30,2,"['deeppavlov/utils/server/metrics.py', 'deeppavlov/utils/server/server.py']"
#1325,2020-11-08 12:50:47,2020-11-08 15:50:46,5,"['deeppavlov/dataset_iterators/huggingface_dataset_iterator.py', 'deeppavlov/dataset_readers/huggingface_dataset_reader.py', 'deeppavlov/metrics/correlation.py', 'deeppavlov/models/torch_bert/torch_bert_classifier.py', 'tests/test_quick_start.py']"
#1323,2020-12-24 15:11:49,2020-12-24 18:11:48,9,"['deeppavlov/dataset_readers/md_yaml_dialogs_reader.py', 'deeppavlov/models/go_bot/nlg/mock_json_nlg_manager.py', 'deeppavlov/models/go_bot/nlg/nlg_manager.py', 'deeppavlov/models/go_bot/nlg/nlg_manager_interface.py', 'deeppavlov/models/go_bot/policy/policy_network.py', 'deeppavlov/models/go_bot/tracker/dialogue_state_tracker.py', 'deeppavlov/models/go_bot/tracker/dto/dst_knowledge.py', 'deeppavlov/models/go_bot/tracker/featurized_tracker.py', 'deeppavlov/models/slotfill/slotfill.py']"
#1312,2020-11-13 11:16:23,2020-11-08 15:50:46,5,"['deeppavlov/dataset_iterators/huggingface_dataset_iterator.py', 'deeppavlov/dataset_readers/huggingface_dataset_reader.py', 'deeppavlov/metrics/correlation.py', 'deeppavlov/models/torch_bert/torch_bert_classifier.py', 'tests/test_quick_start.py']"
#1309,2020-09-02 08:35:06,2020-11-12 23:41:46,20,"['deeppavlov/_meta.py', 'deeppavlov/dataset_readers/md_yaml_dialogs_reader.py', 'deeppavlov/models/go_bot/nlg/dto/json_nlg_response.py', 'deeppavlov/models/go_bot/nlg/mock_json_nlg_manager.py', 'deeppavlov/models/slotfill/slotfill_raw.py', 'tests/test_quick_start.py', 'deeppavlov/models/kbqa/entity_detection_parser.py', 'deeppavlov/models/kbqa/entity_linking.py', 'deeppavlov/models/kbqa/kbqa_entity_linking.py', 'deeppavlov/models/kbqa/query_generator.py', 'deeppavlov/models/kbqa/query_generator_base.py', 'deeppavlov/models/kbqa/query_generator_online.py', 'deeppavlov/models/kbqa/rel_ranking_bert_infer.py', 'deeppavlov/models/kbqa/rel_ranking_mt_bert_infer.py', 'deeppavlov/models/kbqa/template_matcher.py', 'deeppavlov/models/kbqa/tree_to_sparql.py', 'deeppavlov/models/kbqa/utils.py', 'deeppavlov/models/kbqa/wiki_parser.py', 'deeppavlov/models/kbqa/wiki_parser_online.py', 'docs/conf.py']"
#1301,2020-09-07 20:56:23,2020-09-07 23:56:22,16,"['deeppavlov/models/kbqa/entity_detection_parser.py', 'deeppavlov/models/kbqa/entity_linking.py', 'deeppavlov/models/kbqa/kbqa_entity_linking.py', 'deeppavlov/models/kbqa/query_generator.py', 'deeppavlov/models/kbqa/query_generator_base.py', 'deeppavlov/models/kbqa/query_generator_online.py', 'deeppavlov/models/kbqa/rel_ranking_bert_infer.py', 'deeppavlov/models/kbqa/rel_ranking_infer.py', 'deeppavlov/models/kbqa/rel_ranking_mt_bert_infer.py', 'deeppavlov/models/kbqa/template_matcher.py', 'deeppavlov/models/kbqa/tree_to_sparql.py', 'deeppavlov/models/kbqa/utils.py', 'deeppavlov/models/kbqa/wiki_parser.py', 'deeppavlov/models/ranking/rel_ranker.py', 'docs/conf.py', 'tests/test_quick_start.py']"
#1296,2020-08-10 20:46:59,2020-08-10 23:46:58,3,"['deeppavlov/_meta.py', 'deeppavlov/models/kbqa/wiki_parser.py', 'docs/conf.py']"
#1284,2020-08-07 10:41:12,2020-08-07 13:41:11,16,"['deeppavlov/core/models/torch_model.py', 'deeppavlov/core/trainers/__init__.py', 'deeppavlov/core/trainers/torch_trainer.py', 'deeppavlov/dataset_readers/squad_dataset_reader.py', 'deeppavlov/dataset_readers/torchtext_classification_data_reader.py', 'deeppavlov/models/classifiers/torch_classification_model.py', 'deeppavlov/models/classifiers/torch_nets.py', 'deeppavlov/models/preprocessors/squad_preprocessor.py', 'deeppavlov/models/preprocessors/torch_bert_preprocessor.py', 'deeppavlov/models/torch_bert/__init__.py', 'deeppavlov/models/torch_bert/torch_bert_as_summarizer.py', 'deeppavlov/models/torch_bert/torch_bert_classifier.py', 'deeppavlov/models/torch_bert/torch_bert_ranker.py', 'deeppavlov/models/torch_bert/torch_bert_sequence_tagger.py', 'deeppavlov/models/torch_bert/torch_bert_squad.py', 'tests/test_quick_start.py']"
#1283,2020-08-07 10:41:31,2020-08-07 13:41:31,2,"['deeppavlov/models/doc_retrieval/logit_ranker.py', 'deeppavlov/models/preprocessors/odqa_preprocessors.py']"
#1282,2020-08-10 20:46:37,2020-08-10 22:46:36,4,"['deeppavlov/models/kbqa/entity_detection_parser.py', 'deeppavlov/models/kbqa/entity_linking.py', 'deeppavlov/models/kbqa/kbqa_entity_linking.py', 'tests/test_quick_start.py']"
